user_id,product_id,event_time,event_type,event_weight,category_code,category_code_encoded,brand,brand_encoded,price,price_normalized,hour_of_day,hour_normalized,user_session,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
947,prod_92,2024-01-01 06:18:11,page_view,1,electronics.laptops,0.1638,Sony,0.2041,258.83,0.2425770134850921,6,0.2608695652173913,sess_2338,0,1,0,0,0,0,0
574,prod_47,2024-01-01 22:16:45,page_view,1,electronics.phones,0.3336,Samsung,0.1771,508.67,0.5001546455523939,22,0.9565217391304348,sess_1512,0,1,0,0,0,0,0
61,prod_72,2024-01-01 16:45:54,search,1,electronics.accessories,0.1427,Apple,0.1221,890.74,0.8940574869066764,16,0.6956521739130435,sess_1502,0,1,0,0,0,0,0
822,prod_51,2024-01-01 07:40:34,click,1,electronics.tablets,0.3599,Samsung,0.1771,630.02,0.6252628974390695,7,0.30434782608695654,sess_2937,0,1,0,0,0,0,0
647,prod_64,2024-01-01 01:32:13,login,1,electronics.phones,0.3336,HP,0.0903,374.9,0.36224174192750214,1,0.043478260869565216,sess_679,0,1,0,0,0,0,0
279,prod_4,2024-01-01 09:50:00,login,1,electronics.tablets,0.3599,LG,0.1036,738.03,0.7366180048661799,9,0.391304347826087,sess_2659,0,1,0,0,0,0,0
955,prod_100,2024-01-01 19:38:13,add_to_cart,2,electronics.phones,0.3336,Dell,0.2022,393.04,0.3809435440636727,19,0.8260869565217391,sess_4386,0,1,0,0,0,0,0
782,prod_20,2024-01-01 06:51:23,logout,1,electronics.phones,0.3336,Samsung,0.1771,159.9,0.14058311682955996,6,0.2608695652173913,sess_3742,0,1,0,0,0,0,0
45,prod_6,2024-01-01 23:25:35,add_to_cart,2,electronics.laptops,0.1638,Sony,0.2041,227.55,0.21032826095921478,23,1.0,sess_728,0,1,0,0,0,0,0
22,prod_30,2024-01-01 03:56:03,signup,1,electronics.laptops,0.1638,Sony,0.2041,767.41,0.766907913728401,3,0.13043478260869565,sess_1924,0,1,0,0,0,0,0
190,prod_65,2024-01-01 03:30:31,logout,1,electronics.phones,0.3336,Dell,0.2022,44.43,0.021536970596725633,3,0.13043478260869565,sess_3995,0,1,0,0,0,0,0
818,prod_66,2024-01-01 08:25:37,purchase,3,electronics.tablets,0.3599,Dell,0.2022,454.37,0.44417295558579734,8,0.34782608695652173,sess_1081,0,1,0,0,0,0,0
836,prod_32,2024-01-01 08:26:24,purchase,3,electronics.phones,0.3336,HP,0.0903,917.71,0.921862757227102,8,0.34782608695652173,sess_3316,0,1,0,0,0,0,0
750,prod_91,2024-01-01 17:06:08,page_view,1,electronics.accessories,0.1427,Sony,0.2041,37.38,0.01426862963421172,17,0.7391304347826086,sess_4617,0,1,0,0,0,0,0
879,prod_46,2024-01-01 15:45:55,search,1,electronics.laptops,0.1638,Dell,0.2022,527.22,0.5192791455317745,15,0.6521739130434783,sess_902,0,1,0,0,0,0,0
567,prod_97,2024-01-01 19:34:58,login,1,electronics.tablets,0.3599,Lenovo,0.1006,948.16,0.9532558043630663,19,0.8260869565217391,sess_3992,0,1,0,0,0,0,0
328,prod_36,2024-01-01 00:05:47,logout,1,electronics.tablets,0.3599,Dell,0.2022,463.47,0.4535547857643614,0,0.0,sess_1670,0,1,0,0,0,0,0
574,prod_54,2024-01-01 22:23:45,logout,1,electronics.accessories,0.1427,Sony,0.2041,738.44,0.73704070270939,22,0.9565217391304348,sess_2894,0,1,0,0,0,0,0
920,prod_24,2024-01-01 17:01:07,login,1,electronics.phones,0.3336,Sony,0.2041,106.33,0.08535403521794713,17,0.7391304347826086,sess_2353,0,1,0,0,0,0,0
488,prod_97,2024-01-01 03:00:31,search,1,electronics.tablets,0.3599,Lenovo,0.1006,948.16,0.9532558043630663,3,0.13043478260869565,sess_2003,0,1,0,0,0,0,0
436,prod_90,2024-01-01 06:26:47,page_view,1,electronics.tablets,0.3599,Lenovo,0.1006,935.43,0.9401315518165695,6,0.2608695652173913,sess_4653,0,1,0,0,0,0,0
939,prod_13,2024-01-01 13:40:59,click,1,electronics.phones,0.3336,Lenovo,0.1006,291.44,0.27619695657552884,13,0.5652173913043478,sess_2893,0,1,0,0,0,0,0
187,prod_83,2024-01-01 17:25:31,add_to_cart,2,electronics.tablets,0.3599,Apple,0.1221,357.23,0.3440244958554992,17,0.7391304347826086,sess_4387,0,1,0,0,0,0,0
816,prod_73,2024-01-01 12:32:31,signup,1,electronics.laptops,0.1638,Dell,0.2022,377.08,0.3644892572889603,12,0.5217391304347826,sess_2136,0,1,0,0,0,0,0
977,prod_43,2024-01-01 23:26:34,purchase,3,electronics.tablets,0.3599,Lenovo,0.1006,825.29,0.8265804775454656,23,1.0,sess_3890,0,1,0,0,0,0,0
66,prod_46,2024-01-01 06:14:08,click,1,electronics.laptops,0.1638,Dell,0.2022,527.22,0.5192791455317745,6,0.2608695652173913,sess_1838,0,1,0,0,0,0,0
348,prod_100,2024-01-01 22:34:39,logout,1,electronics.phones,0.3336,Dell,0.2022,393.04,0.3809435440636727,22,0.9565217391304348,sess_776,0,1,0,0,0,0,0
929,prod_2,2024-01-01 04:13:18,signup,1,electronics.phones,0.3336,Dell,0.2022,590.87,0.5849004082642582,4,0.17391304347826086,sess_3485,0,1,0,0,0,0,0
749,prod_96,2024-01-01 20:28:44,login,1,electronics.phones,0.3336,Samsung,0.1771,783.56,0.783558084869479,20,0.8695652173913043,sess_3022,0,1,0,0,0,0,0
571,prod_89,2024-01-01 07:41:41,signup,1,electronics.tablets,0.3599,Sony,0.2041,441.27,0.43066724401006223,7,0.30434782608695654,sess_381,0,1,0,0,0,0,0
697,prod_95,2024-01-02 17:41:55,click,1,electronics.accessories,0.1427,Dell,0.2022,842.67,0.8444987422161737,17,0.7391304347826086,sess_1962,0,0,0,0,0,1,0
244,prod_55,2024-01-02 17:43:50,purchase,3,electronics.tablets,0.3599,Sony,0.2041,221.85,0.20445172996824607,17,0.7391304347826086,sess_374,0,0,0,0,0,1,0
663,prod_22,2024-01-02 19:13:59,click,1,electronics.tablets,0.3599,Dell,0.2022,336.45,0.32260093199719575,19,0.8260869565217391,sess_556,0,0,0,0,0,1,0
10,prod_77,2024-01-02 08:58:37,page_view,1,electronics.tablets,0.3599,Dell,0.2022,278.57,0.2629283681801311,8,0.34782608695652173,sess_501,0,0,0,0,0,1,0
111,prod_76,2024-01-02 15:06:00,login,1,electronics.tablets,0.3599,Apple,0.1221,511.81,0.503391892449173,15,0.6521739130434783,sess_3013,0,0,0,0,0,1,0
208,prod_95,2024-01-02 16:02:06,purchase,3,electronics.accessories,0.1427,Dell,0.2022,842.67,0.8444987422161737,16,0.6956521739130435,sess_4268,0,0,0,0,0,1,0
831,prod_26,2024-01-02 23:46:05,login,1,electronics.laptops,0.1638,LG,0.1036,444.12,0.4336055095055466,23,1.0,sess_836,0,0,0,0,0,1,0
1,prod_100,2024-01-02 17:54:22,click,1,electronics.phones,0.3336,Dell,0.2022,393.04,0.3809435440636727,17,0.7391304347826086,sess_4238,0,0,0,0,0,1,0
624,prod_17,2024-01-02 14:45:17,login,1,electronics.phones,0.3336,Apple,0.1221,173.47,0.15457338446946262,14,0.6086956521739131,sess_504,0,0,0,0,0,1,0
264,prod_49,2024-01-02 09:15:49,page_view,1,electronics.phones,0.3336,Sony,0.2041,875.67,0.8785207637428346,9,0.391304347826087,sess_3322,0,0,0,0,0,1,0
127,prod_52,2024-01-02 22:42:37,logout,1,electronics.tablets,0.3599,Samsung,0.1771,462.49,0.4525444348220545,22,0.9565217391304348,sess_4379,0,0,0,0,0,1,0
274,prod_100,2024-01-02 07:23:11,purchase,3,electronics.phones,0.3336,Dell,0.2022,393.04,0.3809435440636727,7,0.30434782608695654,sess_3713,0,0,0,0,0,1,0
421,prod_37,2024-01-02 20:26:51,search,1,electronics.phones,0.3336,Dell,0.2022,140.8,0.12089158315806837,20,0.8695652173913043,sess_4681,0,0,0,0,0,1,0
535,prod_10,2024-01-02 13:24:12,click,1,electronics.tablets,0.3599,LG,0.1036,756.27,0.7554229040372797,13,0.5652173913043478,sess_4477,0,0,0,0,0,1,0
492,prod_15,2024-01-02 09:29:14,add_to_cart,2,electronics.laptops,0.1638,HP,0.0903,918.35,0.9225225782506494,9,0.391304347826087,sess_3205,0,0,0,0,0,1,0
213,prod_6,2024-01-02 16:55:38,search,1,electronics.laptops,0.1638,Sony,0.2041,227.55,0.21032826095921478,16,0.6956521739130435,sess_3940,0,0,0,0,0,1,0
48,prod_29,2024-01-02 00:48:55,add_to_cart,2,electronics.phones,0.3336,Sony,0.2041,196.43,0.17824446368922428,0,0.0,sess_297,0,0,0,0,0,1,0
504,prod_66,2024-01-02 02:14:59,purchase,3,electronics.tablets,0.3599,Dell,0.2022,454.37,0.44417295558579734,2,0.08695652173913043,sess_1883,0,0,0,0,0,1,0
